date,num
2020/2/3,10
2020/2/4,14
2020/2/5,5
2020/2/6,6
2020/2/7,16
2020/2/8,16
2020/2/9,21
2020/2/10,16
2020/2/11,12
2020/2/12,19
2020/2/13,16
2020/2/14,9
2020/2/15,16
2020/2/16,6
2020/2/17,4
2020/2/18,20
2020/2/19,14
2020/2/20,20
2020/2/21,15
2020/2/22,13
2020/2/23,7
2020/2/24,13
2020/2/25,13
2020/2/26,20
2020/2/27,8
2020/2/28,12
2020/2/29,14
2020/3/1,16
2020/3/2,19
2020/3/3,24
2020/3/4,31
2020/3/5,16
2020/3/6,22
2020/3/7,7
2020/3/8,6
2020/3/9,17
2020/3/10,17
2020/3/11,15
2020/3/12,12
2020/3/13,14
2020/3/14,16
2020/3/15,15
2020/3/16,11
2020/3/17,11
2020/3/18,11
2020/3/19,9
2020/3/20,6
2020/3/21,7
2020/3/22,13
2020/3/23,11
2020/3/24,20
2020/3/25,13
2020/3/26,6
2020/3/27,14
2020/3/28,15
2020/3/29,8
2020/3/30,19
2020/3/31,9
2020/4/1,8
2020/4/2,9
2020/4/3,4
2020/4/4,11
2020/4/5,11
2020/4/6,16
2020/4/7,12
2020/4/8,14
2020/4/9,10
2020/4/10,2
