date,num
2018/12/5,12
2018/12/6,3
2018/12/7,16
2018/12/8,12
2018/12/9,9
2018/12/10,4
2018/12/11,10
2018/12/12,5
2018/12/13,5
2018/12/14,8
2018/12/15,12
2018/12/16,7
2018/12/17,7
2018/12/18,10
2018/12/19,12
2018/12/20,10
2018/12/21,22
2018/12/22,6
2018/12/23,11
2018/12/24,18
2018/12/25,7
2018/12/26,1
2018/12/27,3
2018/12/28,13
2018/12/29,2
2018/12/30,8
2018/12/31,10
2019/1/1,12
2019/1/2,9
2019/1/3,6
2019/1/4,8
2019/1/5,10
2019/1/6,13
2019/1/7,6
2019/1/8,6
2019/1/9,4
2019/1/10,9
2019/1/11,9
2019/1/12,16
2019/1/13,9
2019/1/14,14
2019/1/15,11
2019/1/16,3
2019/1/17,2
2019/1/18,10
2019/1/19,12
2019/1/20,11
2019/1/21,12
2019/1/22,16
2019/1/23,6
2019/1/24,12
2019/1/25,3
2019/1/26,9
2019/1/27,10
2019/1/28,8
2019/1/29,3
2019/1/30,9
2019/1/31,15
2019/2/1,12
2019/2/2,3
2019/2/3,4
2019/2/4,2
2019/2/5,3
2019/2/6,3
2019/2/7,6
2019/2/8,8
2019/2/9,8
2019/2/10,6
2019/2/11,12
2019/2/12,6
2019/2/13,7
2019/2/14,6
2019/2/15,4
2019/2/16,1
2019/2/17,11
2019/2/18,10
2019/2/19,14
2019/2/20,9
2019/2/21,5
2019/2/22,5
2019/2/23,3
2019/2/24,12
2019/2/25,12
2019/2/26,10
2019/2/27,8
2019/2/28,1
2019/3/1,11
2019/3/2,7
2019/3/3,6
2019/3/4,10
2019/3/5,15
2019/3/6,7
2019/3/7,8
2019/3/8,11
2019/3/9,9
2019/3/10,9
2019/3/11,4
2019/3/12,4
2019/3/13,12
2019/3/14,15
2019/3/15,10
2019/3/16,7
2019/3/17,19
2019/3/18,12
2019/3/19,14
2019/3/20,8
2019/3/21,9
2019/3/22,8
2019/3/23,5
2019/3/24,2
2019/3/25,5
2019/3/26,6
2019/3/27,8
2019/3/28,15
2019/3/29,13
2019/3/30,6
2019/3/31,3
2019/4/1,8
2019/4/2,16
2019/4/3,5
2019/4/4,6
2019/4/5,11
2019/4/6,19
2019/4/7,7
2019/4/8,8
2019/4/9,11
2019/4/10,8
2019/4/11,10
2019/4/12,8
2019/4/13,12
2019/4/14,8
2019/4/15,14
2019/4/16,11
2019/4/17,9
2019/4/18,8
2019/4/19,10
2019/4/20,9
2019/4/21,13
2019/4/22,6
2019/4/23,24
2019/4/24,15
2019/4/25,10
2019/4/26,9
2019/4/27,5
2019/4/28,13
2019/4/29,9
2019/4/30,3
2019/5/1,17
2019/5/2,4
2019/5/3,12
2019/5/4,14
2019/5/5,5
2019/5/6,18
2019/5/7,3
2019/5/8,18
2019/5/9,10
2019/5/10,19
2019/5/11,5
2019/5/12,9
2019/5/13,29
2019/5/14,19
2019/5/15,5
2019/5/16,5
2019/5/17,15
2019/5/18,4
2019/5/19,12
2019/5/20,19
2019/5/21,11
2019/5/22,26
2019/5/23,15
2019/5/24,17
2019/5/25,12
2019/5/26,12
2019/5/27,10
2019/5/28,6
2019/5/29,9
2019/5/30,9
2019/5/31,14
2019/6/1,7
2019/6/2,16
2019/6/3,12
2019/6/4,7
2019/6/5,12
2019/6/6,7
2019/6/7,11
2019/6/8,17
2019/6/9,11
2019/6/10,10
2019/6/11,20
2019/6/12,9
2019/6/13,21
2019/6/14,9
2019/6/15,14
2019/6/16,17
2019/6/17,11
2019/6/18,14
2019/6/19,14
2019/6/20,9
2019/6/21,8
2019/6/22,6
2019/6/23,11
2019/6/24,7
2019/6/25,4
2019/6/26,13
2019/6/27,23
2019/6/28,7
2019/6/29,3
2019/6/30,7
2019/7/1,9
2019/7/2,15
2019/7/3,19
2019/7/4,12
2019/7/5,11
2019/7/6,10
2019/7/7,2
2019/7/8,12
2019/7/9,15
2019/7/10,17
2019/7/11,28
2019/7/12,23
2019/7/13,11
2019/7/14,10
2019/7/15,14
2019/7/16,15
2019/7/17,11
2019/7/18,12
2019/7/19,19
2019/7/20,6
2019/7/21,8
2019/7/22,19
2019/7/23,15
2019/7/24,20
2019/7/25,29
2019/7/26,13
2019/7/27,10
2019/7/28,25
2019/7/29,17
2019/7/30,22
2019/7/31,13
2019/8/1,19
2019/8/2,14
2019/8/3,8
2019/8/4,7
2019/8/5,9
2019/8/6,11
2019/8/7,18
2019/8/8,17
2019/8/9,9
2019/8/10,6
2019/8/11,7
2019/8/12,4
2019/8/13,11
2019/8/14,16
2019/8/15,16
2019/8/16,16
2019/8/17,13
2019/8/18,8
2019/8/19,14
2019/8/20,17
2019/8/21,16
2019/8/22,13
2019/8/23,19
2019/8/24,22
2019/8/25,11
2019/8/26,21
2019/8/27,9
2019/8/28,22
2019/8/29,13
2019/8/30,12
2019/8/31,27
2019/9/1,15
2019/9/2,16
2019/9/3,12
2019/9/4,11
2019/9/5,20
2019/9/6,24
2019/9/7,15
2019/9/8,9
2019/9/9,21
2019/9/10,20
2019/9/11,20
2019/9/12,15
2019/9/13,8
2019/9/14,10
2019/9/15,11
2019/9/16,25
2019/9/17,15
2019/9/18,17
2019/9/19,10
2019/9/20,7
2019/9/21,8
2019/9/22,23
2019/9/23,10
2019/9/24,8
2019/9/25,28
2019/9/26,14
2019/9/27,28
2019/9/28,8
2019/9/29,15
2019/9/30,30
2019/10/1,20
2019/10/2,18
2019/10/3,17
2019/10/4,31
2019/10/5,31
2019/10/6,20
2019/10/7,32
2019/10/8,19
2019/10/9,36
2019/10/10,22
2019/10/11,18
2019/10/12,17
2019/10/13,17
2019/10/14,24
2019/10/15,25
2019/10/16,15
2019/10/17,22
2019/10/18,16
2019/10/19,17
2019/10/20,18
2019/10/21,17
2019/10/22,14
2019/10/23,14
2019/10/24,16
2019/10/25,7
2019/10/26,29
2019/10/27,9
2019/10/28,3
2019/10/29,21
2019/10/30,9
2019/10/31,26
2019/11/1,21
2019/11/2,8
2019/11/3,16
2019/11/4,32
2019/11/5,11
2019/11/6,15
2019/11/7,21
2019/11/8,2
2019/11/9,8
2019/11/10,18
2019/11/11,17
2019/11/12,19
2019/11/13,12
2019/11/14,12
2019/11/15,16
2019/11/16,13
2019/11/17,13
2019/11/18,31
2019/11/19,10
2019/11/20,11
2019/11/21,28
2019/11/22,10
2019/11/23,8
2019/11/24,17
2019/11/25,18
2019/11/26,11
2019/11/27,6
2019/11/28,4
2019/11/29,3
2019/12/1,10
2019/12/2,16
2019/12/3,16
2019/12/4,6
2019/12/5,11
2019/12/6,11
2019/12/7,13
2019/12/8,16
2019/12/9,26
2019/12/10,12
2019/12/11,10
2019/12/12,25
2019/12/13,21
2019/12/14,10
2019/12/15,15
2019/12/16,27
2019/12/17,11
2019/12/18,27
2019/12/19,16
2019/12/20,15
2019/12/21,28
2019/12/22,4
2019/12/23,4
2019/12/24,14
2019/12/25,4
2019/12/26,13
2019/12/27,13
2019/12/28,17
2019/12/29,8
2019/12/30,2
2019/12/31,8
2020/1/1,21
2020/1/2,9
2020/1/3,7
2020/1/4,5
2020/1/5,6
2020/1/6,5
2020/1/7,7
2020/1/8,2
2020/1/9,10
2020/1/10,18
2020/1/11,7
2020/1/12,18
2020/1/13,18
2020/1/14,6
2020/1/15,13
2020/1/16,8
2020/1/17,13
2020/1/18,11
2020/1/19,8
2020/1/20,9
2020/1/21,16
2020/1/22,9
2020/1/23,20
2020/1/24,29
2020/1/25,12
2020/1/26,24
2020/1/27,16
2020/1/28,13
2020/1/29,24
2020/1/30,12
2020/1/31,21
2020/2/1,5
2020/2/2,10
