id,username,date,time,tweet,place,geo,replies_count,retweets_count,likes_count,mentions
1243117977844584448,turnbullmalcolm,2020-03-26,18:09:56,"Reading “Spot visits his grandparents” to grandson Ronan who lives in Singapore with his sister & parents. PM @leehsienloong has decisively tackled the virus, taking strong measures early, identifying & isolating those infected & using technology to trace & alert their contacts. pic.twitter.com/8myF1Fe892",,,118,119,1720,['leehsienloong']
1241821319710134272,turnbullmalcolm,2020-03-23,04:17:29,A graphic simulation of how the virus spread from Wuhan. https://www.nytimes.com/interactive/2020/03/22/world/coronavirus-spread.html?referringSource=articleShare …,,,34,85,185,[]
1240974517129711617,turnbullmalcolm,2020-03-20,20:12:35,"Recommend checking out how President @jokowi uses social media esp Instagram for a constant stream of information, instruction and exhortation on the pandemic and the response in Indonesia.",,,56,41,237,['jokowi']
1240973452648919040,turnbullmalcolm,2020-03-20,20:08:21,"“The nbn’s peak throughput is typically at around 9pm and, by comparison, during standard business hours of 9-5pm, network traffic is usually around half that of the evening peak.”  https://www.nbnco.com.au/corporate-information/media-centre/media-statements/increase-in-residential-data-demand …",,,4,0,0,"['theanthonyhayes', 'rhysam']"
1240972510293712897,turnbullmalcolm,2020-03-20,20:04:37,More people are working from home increasing bandwidth demands during the day. That is not when video streaming peaks which is in the evenings.,,,3,0,0,"['theanthonyhayes', 'rhysam']"
1240971993865793536,turnbullmalcolm,2020-03-20,20:02:34,Sure. 94% of Australians can get NBN now. If we had stuck with Labor’s model millions of them would still be on ADSL or worse. Plus the project would have cost tens of billions more - so even higher prices.,,,38,2,1,"['theanthonyhayes', 'rhysam']"
1240577748239695872,turnbullmalcolm,2020-03-19,17:55:58,Very good advice Daisy! https://twitter.com/MrsDzTB/status/1240521056583954432 …,,,7,8,71,[]
1240086978164473856,turnbullmalcolm,2020-03-18,09:25:49,Well said Julia and thank you for your work with Beyond Blue. https://twitter.com/JuliaGillard/status/1240057768549072896 …,,,80,310,2666,[]
1239821963830284288,turnbullmalcolm,2020-03-17,15:52:45,"Justice done. At last. The claim made in @australian on 3/11/17 was always absurd: that you were a citizen of a country which stripped your mother & her family of their citizenship & would have pushed them into the gas chambers, had it not been for the arrival of the Red Army. https://twitter.com/JoshFrydenberg/status/1239800917127393280 …",,,45,22,458,['australian']
1239530069644607488,turnbullmalcolm,2020-03-16,20:32:52,Thank you makes perfect sense.,,,0,1,18,['samanthamaiden']
1239473977929555968,turnbullmalcolm,2020-03-16,16:49:59,Where are you going to instal them?,,,5,0,20,['samanthamaiden']
1239128610629234688,turnbullmalcolm,2020-03-15,17:57:37,Many thanks to @normanswan and the ABC for their advice and information on #COVID19Aus - at times like this credibility and consistency are so important,,,121,348,2823,['normanswan']
1239036861495906304,turnbullmalcolm,2020-03-15,11:53:02,Morrison has just said (2.45 pm)that we should stop handshaking. At last a clear message which for some reason was not capable of being delivered this morning on @InsidersABC at 9 am. @GladysB on the other hand discouraged handshakes weeks ago. #FlattenTheCurve https://twitter.com/TurnbullMalcolm/status/1238956779226066944 …,,,436,460,2287,"['insidersabc', 'gladysb']"
1239012206479458304,turnbullmalcolm,2020-03-15,10:15:04,"Why outbreaks like coronavirus spread exponentially, and how to “flatten the curve” - Washington Post https://www.washingtonpost.com/graphics/2020/world/corona-simulator/ …",,,81,473,1183,[]
1238956779226066944,turnbullmalcolm,2020-03-15,06:34:49,What is going on here? We can’t even get a clear answer on shaking hands? It is obvious that one of the simplest ways of reducing risk is to stop shaking hands - such a simple thing to do. https://twitter.com/InsidersABC/status/1238951789895925761 …,,,431,619,2904,[]
1238591505339527168,turnbullmalcolm,2020-03-14,06:23:21,"Well said Tom, thank you Mark and strength to you arm on your new climate assignment with the UN. https://twitter.com/TomTugendhat/status/1238587235441786881 …",,,3,4,20,[]
1238569008275677184,turnbullmalcolm,2020-03-14,04:53:57,"In China, here in Australia and around the world doctors and nurses are working the longest hours, risking their own lives to treat #CV19 patients. Thank you. 🙏🙏🙏 https://www.nytimes.com/interactive/2020/03/13/world/asia/coronavirus-death-life.html?referringSource=articleShare …",,,157,268,1733,[]
1237572724685324288,turnbullmalcolm,2020-03-11,10:55:05,Hooray for Daisy!,,,3,0,22,"['james_jeffrey', 'daisyjeffrey2', 'mcannonbrookes', 'louiseadler', 'hachetteaus']"
1236486987030257665,turnbullmalcolm,2020-03-08,11:00:45,Get well soon Nova!,,,0,0,1,"['novamariejw', 'mrsdztb', 'alanfletcher', 'benhall23']"
1235658441579888640,turnbullmalcolm,2020-03-06,04:08:24,Sydney is pledging to become safer for women - and it will boost the night time economy ⁦@LucyTurnbull_AO⁩ https://www.sbs.com.au/news/sydney-is-pledging-to-become-safer-for-women-and-it-will-boost-the-night-time-economy …,,,18,12,100,['lucyturnbull_ao']
1235308652476715008,turnbullmalcolm,2020-03-05,04:58:28,Well said Telstra CEO Andy Penn on @RNBreakfast “the biggest risk with climate is thinking its someone else’s problem to fix”,,,84,162,730,['rnbreakfast']
1234439682525556736,turnbullmalcolm,2020-03-02,19:25:29,Happy memories of the old rip and read wire service for radio news rooms.... sounds like there might be a sale looming?,,,1,7,16,"['osbornep', 'mrkrudd', 'juliagillardgpe']"
1233668320815005696,turnbullmalcolm,2020-02-29,16:20:22,Congratulations! https://twitter.com/SatPaper/status/1233519773834715136 …,,,37,41,354,[]
1232572150092976128,turnbullmalcolm,2020-02-26,15:44:35,Totally agree - there will be more jobs and better jobs in a clean and cheaper energy economy. A just and planned transition is key - engineering and economics not ideology and idiocy.,,,31,21,45,['quentindempster']
1232336885302714370,turnbullmalcolm,2020-02-26,00:09:43,Turnbull warns of 'catastrophic' future if we don't move to net zero  https://www.smh.com.au/politics/federal/turnbull-warns-of-catastrophic-future-if-we-don-t-move-to-net-zero-20200225-p5449p.html … via @smh,,,173,191,672,['smh']
1231509205032374272,turnbullmalcolm,2020-02-23,17:20:49,Glad you like it.....it’s an old point but a good one.,,,2,0,2,['sebhenbest']
1231348918895570944,turnbullmalcolm,2020-02-23,06:43:54,Last tweet this morning: a policy which opposes net zero by 2050 is a policy of 3 degrees plus global warming and an uninhabitable planet.,,,330,459,2135,[]
1231347360074092545,turnbullmalcolm,2020-02-23,06:37:42,"The consequences of this transition: a habitable planet, cheaper energy,  more economic growth and jobs. Regions? Most of the renewable investment is in the regions. To get there above all we need a coherent integration of climate and energy policy.",,,84,238,1519,[]
1231344914107006976,turnbullmalcolm,2020-02-23,06:27:59,Wrong on both counts.,,,0,0,4,['ryanwil62993886']
1231342361134788608,turnbullmalcolm,2020-02-23,06:17:50,"Reverse deforestation, reforest wherever possible. A decade ago the “how” was hard to see and very expensive relative to BAU. Now we can see a feasible, affordable route to net zero - the alternative is catastrophic.",,,71,230,1522,[]
